"","V1","V2","V3","V4","V5","V6"
"1","Boise State","Oregon","11","1","",""
"2","Bowling Green State","Troy","17","1","",""
"3","Indiana","Eastern Kentucky","6","1","",""
"4","Iowa State","North Dakota State","17","1","",""
"5","Kent State","Coastal Carolina","18","1","",""
"6","Ball State","North Texas","-10","1"," A 7 H -3"," H -4 H -1"
"7","North Carolina State","South Carolina","-4","1","",""
"8","Utah","Utah State","18","1"," A -10"," H 15"
"9","Temple","Villanova","-3","1","",""
"10","Hawaii","Central Arkansas","5","1","",""
"11","Tulane","Tulsa","-24","1"," H -28 A 37 H 7 A 8"," H -1 A 10 A 4 A -17"
"12","Air Force","Nicholls State","72","1","",""
"13","0","0","0","0","0","0"
"14","Alabama-Birmingham","Rice","20","1"," H -2 A -5 A 16"," A 3 H 1 A 36"
"15","Arizona","Central Michigan","13","1","",""
"16","Arizona State","Idaho State","47","1","",""
"17","Arkansas","Missouri State","38","1","",""
"18","Arkansas State","Mississippi Valley State","61","1","",""
"19","Eastern Michigan","Army","-13","1"," H -12 H -2"," A 14 H 7"
"20","Auburn","Louisiana Tech","24","1"," A 21"," A 8"
"21","Wake Forest","Baylor","-3","1","",""
"22","Boston College","Northeastern","54","1","",""
"23","0","0","0","0","0","0"
"24","Texas-El Paso","Buffalo","-6","1","",""
"25","California","Maryland","39","1","",""
"26","Central Florida","Samford","4","1","",""
"27","Clemson","Middle Tennessee State","23","1"," A 3"," A -1"
"28","Ohio","Connecticut","-7","1","",""
"29","East Carolina","Appalachian State","5","1","",""
"30","Florida","Charleston Southern","59","1","",""
"31","Fresno State","California-Davis","51","1","",""
"32","Georgia Tech","Jacksonville State","20","1","",""
"33","Houston","Northwestern State","48","1","",""
"34","New Mexico State","Idaho","-15","1"," A 17 A 38 H -31 A 18 H -43 A 3"," H 14 H 1 H -10 H 12 A 25 A -4"
"35","Iowa","Northern Iowa","1","1","",""
"36","Kansas","Northern Colorado","46","1","",""
"37","Kansas State","Massachusetts","4","1","",""
"38","0","0","0","0","0","0"
"39","Washington","Louisiana State","-8","1","",""
"40","Louisiana-Lafayette","Southern","23","1","",""
"41","Louisville","Indiana State","20","1","",""
"42","Marshall","Southern Illinois","3","1","",""
"43","Michigan","Western Michigan","24","1"," H 28 H 3 A 6"," A -21 A 4 A 35"
"44","Michigan State","Montana State","41","1","",""
"45","Syracuse","Minnesota","-3","1"," A 21 H 3"," A 20 A -11"
"46","Mississippi State","Jackson State","38","1","",""
"47","0","0","0","0","0","0"
"48","Nebraska","Florida Atlantic","46","1"," H 29 H 55"," H 17 A -22"
"49","Nevada-Las Vegas","Sacramento State","35","1","",""
"50","North Carolina","Citadel","34","1","",""
"51","Northwestern","Towson","33","1","",""
"52","Notre Dame","Nevada","35","1","",""
"53","Ohio State","Navy","4","1","",""
"54","Oklahoma State","Georgia","14","1","",""
"55","Oregon State","Portland State","27","1","",""
"56","Penn State","Akron","24","1"," H 21 H 25 H 11"," A 14 H -39 H -17"
"57","Pittsburgh","Youngstown State","35","1","",""
"58","Purdue","Toledo","21","1"," H -7"," H 1"
"59","Duke","Richmond","-8","1","",""
"60","South Florida","Wofford","33","1","",""
"61","Southern California","San Jose State","53","1"," H -34"," A 25"
"62","Southern Methodist","Stephen F. Austin","8","1","",""
"63","Southern Mississippi","Alcorn State","52","1","",""
"64","Washington State","Stanford","-26","1"," A 21 A 46 H -13 A 32 A 41 H -36 H -32"," A -34 H 9 H 19 H -6 A 5 H 8 A 10"
"65","Tennessee","Western Kentucky","56","1","",""
"66","Texas","Louisiana-Monroe","39","1","",""
"67","Texas A&amp;M","New Mexico","35","1"," A -22"," A 20"
"68","Texas Tech","North Dakota","25","1","",""
"69","UCLA","San Diego State","19","1","",""
"70","Vanderbilt","Western Carolina","45","1","",""
"71","West Virginia","Liberty","13","1","",""
"72","Virginia","William &amp; Mary","-12","1","",""
"73","Wisconsin","Northern Illinois","8","1"," H 37"," A -7"
"74","Wyoming","Weber State","7","1","",""
"75","Colorado","Colorado State","-6","1","",""
"76","Memphis","Mississippi","-31","1"," A 28 H -10"," H 25 H 35"
"77","Rutgers","Cincinnati","-32","1"," A -4 H 31 A 18 A -20"," H 2 A -17 A -21 H 31"
"78","Florida State","Miami (FL)","-4","1"," H -5 A -3 A 16 A -13"," H 16 A 9 H -3 A -1"
"79","0","0","0","0","0","0"
"80","Georgia Tech","Clemson","3","2"," A 16 A -5 A -25 H 3"," A -3 H 16 H 13 H 35"
"81","Toledo","Colorado","16","2","",""
"82","Akron","Morgan State","41","2","",""
"83","Alabama","Florida International","26","2"," H 46"," H 7"
"84","Arizona","Northern Arizona","17","2","",""
"85","Auburn","Mississippi State","25","2"," A 21 H -7 A 21"," A 21 A -7 H -4"
"86","Boise State","Miami (OH)","48","2"," A -35"," H -21"
"87","Boston College","Kent State","27","2","",""
"88","Tulane","Brigham Young","-51","2","",""
"89","California","Eastern Washington","52","2","",""
"90","Michigan State","Central Michigan","-2","2"," H 35"," A -11"
"91","Cincinnati","Southeast Missouri State","67","2","",""
"92","Colorado State","Weber State","1","2","",""
"93","Army","Duke","-16","2","",""
"94","Florida","Troy","50","2"," H 3 H 59"," A 36 A -9"
"95","Florida State","Jacksonville State","10","2","",""
"96","Georgia","South Carolina","4","2"," A -11 A 26 A -24 H -7"," A 17 A 18 H 4 H 2"
"97","Washington State","Hawaii","-18","2","",""
"98","Oklahoma State","Houston","-10","2"," H 7"," H 1"
"99","Illinois","Illinois State","28","2","",""
"100","Indiana","Western Michigan","4","2"," A 3"," A 24"
"101","Iowa State","Iowa","-32","2","",""
"102","Texas-El Paso","Kansas","-27","2","",""
"103","Louisiana State","Vanderbilt","14","2"," A -4 A -7 H -10 A 2"," H -12 H -24 A 24 H -16"
"104","Louisiana-Lafayette","Kansas State","2","2","",""
"105","Louisiana-Monroe","Texas Southern","58","2","",""
"106","Maryland","James Madison","3","2","",""
"107","Michigan","Notre Dame","4","2"," A 6 H -2"," H 3 A -3"
"108","Middle Tennessee State","Memphis","17","2","",""
"109","Minnesota","Air Force","7","2","",""
"110","Missouri","Bowling Green State","7","2","",""
"111","Navy","Louisiana Tech","18","2","",""
"112","Nebraska","Arkansas State","29","2"," H 46 H 55"," A 17 H -3"
"113","Ball State","New Hampshire","-7","2","",""
"114","New Mexico State","Prairie View A&amp;M","3","2","",""
"115","Connecticut","North Carolina","-2","2","",""
"116","North Carolina State","Murray State","58","2","",""
"117","Northern Illinois","Western Illinois","34","2","",""
"118","Northwestern","Eastern Michigan","3","2","",""
"119","North Texas","Ohio","-1","2"," A -10"," A -3"
"120","Oklahoma","Idaho State","64","2","",""
"121","Oregon","Purdue","2","2","",""
"122","Nevada-Las Vegas","Oregon State","-2","2","",""
"123","Penn State","Syracuse","21","2"," H 24 H 20 A -21"," H 14 H -3 H 3"
"124","Buffalo","Pittsburgh","-27","2","",""
"125","Rutgers","Howard","38","2","",""
"126","San Diego State","Southern Utah","16","2","",""
"127","Western Kentucky","South Florida","-22","2","",""
"128","Ohio State","Southern California","-3","2","",""
"129","Alabama-Birmingham","Southern Methodist","-2","2"," H 20 A 20 A -5 A 16"," H 3 A 3 H 4 H 7"
"130","Southern Mississippi","Central Florida","7","2"," H 20 H 37 A 7 A -7"," H 18 H 49 H 5 H 1"
"131","Wyoming","Texas","-31","2"," A 24"," H 24"
"132","Virginia","Texas Christian","-16","2"," A 13"," A -4"
"133","Texas Tech","Rice","45","2"," A 7"," A 17"
"134","New Mexico","Tulsa","-34","2","",""
"135","Tennessee","UCLA","-4","2","",""
"136","San Jose State","Utah","-10","2"," A 15"," H 18"
"137","Virginia Tech","Marshall","42","2"," A -13"," H -4"
"138","Wake Forest","Stanford","7","2","",""
"139","Washington","Idaho","19","2","",""
"140","West Virginia","East Carolina","15","2"," H 17"," A -4"
"141","Wisconsin","Fresno State","3","2","",""
"142","0","0","0","0","0","0"
"143","Miami (FL)","Georgia Tech","16","3"," A -4 A 24 H -3 A -1 H 35 A 9 H 18"," A -5 H 5 H 3 H 3 A -25 H 17 A -39"
"144","Fresno State","Boise State","-17","3"," H 51 A -25 H 20 H 4 A -10 A 38 H 2"," H 18 A -45 H 38 A -31 H 38 H 11 A -10"
"145","New Mexico","Air Force","-24","3"," A 24 H -17 A 3 A 31 H 2"," H 10 H 28 H 12 A 7 A -18"
"146","Alabama","North Texas","46","3"," H 26"," A 7"
"147","Arizona State","Louisiana-Monroe","24","3","",""
"148","Army","Ball State","7","3"," A -13 A 14"," A -2 A 5"
"149","Auburn","West Virginia","11","3","",""
"150","Minnesota","California","-14","3","",""
"151","Western Kentucky","Central Arkansas","-21","3","",""
"152","Central Florida","Buffalo","6","3","",""
"153","Central Michigan","Alcorn State","48","3","",""
"154","Oregon State","Cincinnati","-10","3","",""
"155","Clemson","Boston College","18","3"," H 35 H 16 A -20 H 13"," H 3 H 7 H 32 A -4"
"156","Colorado","Wyoming","24","3"," A 24"," H -31"
"157","Colorado State","Nevada","15","3"," A 2 A 19"," H 25 H 35"
"158","Baylor","Connecticut","-8","3","",""
"159","Florida","Tennessee","10","3"," H 24 A -10"," H 15 H 18"
"160","Brigham Young","Florida State","-26","3","",""
