"","V1","V2","V3","V4","V5","V6"
"1","Arizona State","California-Davis","34","1","",""
"2","Idaho","Bowling Green State","-17","1","",""
"3","Central Michigan","South Carolina State","15","1","",""
"4","Florida International","North Texas","25","1"," H -5 A 18 H 3 A 1 H 34 A -11"," A 20 A 23 A -5 H -10 H 14 H 17"
"5","Georgia Tech","Western Carolina","42","1","",""
"6","0","0","0","0","0","0"
"7","Louisville","Murray State","12","1","",""
"8","Memphis","Mississippi State","-45","1"," H -6"," A -18"
"9","Rutgers","North Carolina Central","48","1","",""
"10","Syracuse","Wake Forest","7","1","",""
"11","Temple","Villanova","35","1","",""
"12","Toledo","New Hampshire","36","1","",""
"13","Utah","Montana State","17","1","",""
"14","Wisconsin","Nevada-Las Vegas","34","1","",""
"15","Baylor","Texas Christian","2","1","",""
"16","Michigan State","Youngstown State","22","1","",""
"17","Air Force","South Dakota","17","1","",""
"18","Alabama","Kent State","41","1","",""
"19","Arizona","Northern Arizona","31","1","",""
"20","Arkansas","Missouri State","44","1","",""
"21","Auburn","Utah State","4","1","",""
"22","0","0","0","0","0","0"
"23","0","0","0","0","0","0"
"24","Mississippi","Brigham Young","-1","1","",""
"25","0","0","0","0","0","0"
"26","Central Florida","Charleston Southern","62","1","",""
"27","Cincinnati","Austin Peay","62","1","",""
"28","Clemson","Troy","24","1","",""
"29","New Mexico","Colorado State","-4","1"," A 69 H -42 A 28 H 7"," A 24 H -24 H -3 A 3"
"30","Connecticut","Fordham","32","1","",""
"31","Florida","Florida Atlantic","38","1"," H 39 A 11"," H 3 A 16"
"32","Florida State","Louisiana-Monroe","34","1","",""
"33","Hawaii","Colorado","17","1"," A 8"," A 28"
"34","Houston","UCLA","4","1","",""
"35","Illinois","Arkansas State","18","1","",""
"36","Iowa","Tennessee Tech","27","1","",""
"37","Iowa State","Northern Iowa","1","1","",""
"38","Kansas","McNeese State","18","1","",""
"39","Kansas State","Eastern Kentucky","3","1","",""
"40","0","0","0","0","0","0"
"41","Michigan","Western Michigan","24","1"," H 28 A -17"," A 4 A 3"
"42","Missouri","Miami (OH)","11","1","",""
"43","Navy","Delaware","23","1","",""
"44","Nebraska","Chattanooga","33","1","",""
"45","North Carolina","James Madison","32","1","",""
"46","North Carolina State","Liberty","22","1","",""
"47","Northern Illinois","Army","23","1"," H 3"," A 27"
"48","Boston College","Northwestern","-7","1","",""
"49","New Mexico State","Ohio","-20","1","",""
"50","Ohio State","Akron","42","1","",""
"51","Oklahoma","Tulsa","33","1","",""
"52","Oklahoma State","Louisiana-Lafayette","27","1","",""
"53","Penn State","Indiana State","34","1","",""
"54","Pittsburgh","Buffalo","19","1"," H 15"," H -14"
"55","Purdue","Middle Tennessee State","3","1","",""
"56","Duke","Richmond","-2","1","",""
"57","Oregon State","Sacramento State","-1","1","",""
"58","San Diego State","Cal Poly","28","1","",""
"59","0","0","0","0","0","0"
"60","Notre Dame","South Florida","-3","1"," A -3"," A 27"
"61","Southern California","Minnesota","2","1","",""
"62","Southern Mississippi","Louisiana Tech","2","1","",""
"63","Stanford","San Jose State","54","1"," H 26"," A 10"
"64","Tennessee","Montana","26","1","",""
"65","Texas","Rice","25","1","",""
"66","Texas Tech","Texas State","40","1","",""
"67","Texas-El Paso","Stony Brook","7","1","",""
"68","Tulane","Southeastern Louisiana","14","1","",""
"69","Vanderbilt","Elon","31","1","",""
"70","Virginia","William &amp; Mary","37","1","",""
"71","Virginia Tech","Appalachian State","53","1","",""
"72","Washington","Eastern Washington","3","1","",""
"73","Washington State","Idaho State","43","1","",""
"74","Wyoming","Weber State","3","1","",""
"75","Eastern Michigan","Howard","32","1","",""
"76","Texas A&amp;M","Southern Methodist","32","1","",""
"77","West Virginia","Marshall","21","1"," H -3"," A -4"
"78","Maryland","Miami (FL)","8","1"," A 5 A 25 H -18"," H 17 A 4 H -7"
"79","0","0","0","0","0","0"
"80","Oklahoma State","Arizona","23","2","",""
"81","Arizona State","Missouri","7","2","",""
"82","Louisville","Florida International","-7","2","",""
"83","Penn State","Alabama","-16","2","",""
"84","0","0","0","0","0","0"
"85","Arkansas State","Memphis","44","2"," A -26"," A 7"
