"","V1","V2","V3","V4","V5","V6"
"1","Boise State","Weber State","49","1","",""
"2","Cincinnati","Southeast Missouri State","56","1","",""
"3","Iowa State","Kent State","-9","1","",""
"4","Mississippi State","Louisiana State","-45","1"," A -21 A -5 A 17 A -17 H 5"," A -25 H 6 H 12 A 6 A -7"
"5","Louisville","Murray State","63","1","",""
"6","Ball State","Miami (OH)","-1","1"," H 35"," H 3"
"7","Utah State","Nevada-Las Vegas","-7","1"," A 14 A 16 A 15 H -3"," A 5 H 27 H -35 A 7"
"8","New Mexico State","Southeastern Louisiana","21","1","",""
"9","Oregon State","Utah","17","1"," H -26"," H 38"
"10","Rutgers","Buffalo","35","1"," A -24"," A 8"
"11","Louisiana-Monroe","Tulsa","-18","1","",""
"12","Temple","Navy","-11","1"," H 1"," H 11"
"13","Syracuse","Washington","-30","1","",""
"14","Air Force","South Carolina State","31","1","",""
"15","Akron","Army","8","1"," H -4"," H 16"
"16","Alabama","Western Carolina","46","1","",""
"17","Michigan","Appalachian State","-2","1","",""
"18","Arizona State","San Jose State","42","1"," A -38"," A 37"
"19","Arkansas","Troy","20","1"," H 59 H 48"," H 38 A -18"
"20","Auburn","Kansas State","10","1","",""
"21","Boston College","Wake Forest","10","1"," H 20 H 20 H -10 A 7 A -3"," H 20 H 11 H 3 H 7 A 34"
"22","Minnesota","Bowling Green State","-1","1"," H 6"," A 33"
"23","Brigham Young","Arizona","13","1"," A 10 A -7"," H 7 H -2"
"24","California","Tennessee","14","1","",""
"25","North Carolina State","Central Florida","-2","1"," A -14"," A 14"
"26","0","0","0","0","0","0"
"27","Duke","Connecticut","-31","1"," A 11"," A 1"
"28","Florida","Western Kentucky","46","1"," H 28"," H -4"
"29","Florida Atlantic","Middle Tennessee State","13","1"," A -10 A -7 H -3 H 3 A -32"," A -20 H -10 A -3 H 17 H 41"
"30","Fresno State","Sacramento State","21","1","",""
"31","Georgia","Oklahoma State","21","1"," H 10"," A 18"
"32","Notre Dame","Georgia Tech","-30","1"," H -13 H 21"," H -14 A -17"
"33","Hawaii","Northern Colorado","57","1","",""
"34","Indiana","Indiana State","48","1","",""
"35","Northern Illinois","Iowa","-13","1"," A 41"," A 4"
"36","Kansas","Central Michigan","45","1"," H 32"," H 21"
"37","Kentucky","Eastern Kentucky","40","1","",""
"38","Louisiana Tech","Central Arkansas","21","1","",""
"39","Maryland","Villanova","17","1","",""
"40","Miami (FL)","Marshall","28","1","",""
"41","Michigan State","Alabama-Birmingham","37","1","",""
"42","Memphis","Mississippi","-2","1","",""
"43","0","0","0","0","0","0"
"44","Nebraska","Nevada","42","1","",""
"45","Rice","Nicholls State","-2","1","",""
"46","North Carolina","James Madison","23","1","",""
"47","Northwestern","Northeastern","27","1","",""
